iter	Passed	Remaining
0	1	1388
1	2	1363
2	4	1403
3	5	1362
4	6	1360
5	8	1374
6	9	1365
7	10	1358
8	12	1359
9	13	1357
10	14	1342
11	16	1343
12	18	1373
13	19	1382
14	20	1376
15	22	1381
16	23	1368
17	24	1351
18	25	1336
19	27	1325
20	28	1323
21	29	1315
22	30	1306
23	32	1305
24	33	1305
25	34	1301
26	36	1298
27	37	1294
28	38	1290
29	39	1287
30	40	1271
31	41	1264
32	43	1269
33	44	1268
34	45	1266
35	47	1265
36	48	1263
37	49	1262
38	51	1260
39	52	1256
40	53	1261
41	55	1259
42	56	1259
43	58	1261
44	59	1259
45	60	1257
46	61	1255
47	63	1256
48	64	1254
49	65	1251
50	67	1252
51	68	1252
52	70	1252
53	71	1252
54	72	1249
55	73	1246
56	75	1247
57	76	1248
58	78	1244
59	79	1242
60	80	1241
61	81	1239
62	83	1237
63	84	1235
64	85	1235
65	87	1233
66	88	1231
67	89	1229
68	90	1226
69	92	1223
70	93	1220
71	94	1220
72	95	1218
73	97	1217
74	98	1215
75	99	1213
76	101	1211
77	102	1209
78	103	1207
79	104	1204
80	106	1203
81	107	1201
82	108	1201
83	109	1198
84	111	1196
85	112	1193
86	113	1191
87	114	1189
88	116	1188
89	117	1185
90	118	1183
91	119	1179
92	120	1178
93	122	1176
94	122	1170
95	124	1168
96	125	1164
97	126	1163
98	127	1161
99	128	1160
100	130	1159
101	131	1158
102	133	1158
103	134	1154
104	135	1154
105	136	1151
106	137	1150
107	139	1148
108	140	1147
109	141	1145
110	142	1143
111	144	1142
112	145	1139
113	146	1138
114	147	1136
115	149	1136
116	150	1136
117	152	1136
118	153	1134
119	154	1133
120	155	1131
121	156	1129
122	158	1128
123	159	1126
124	160	1125
125	162	1124
126	163	1123
127	164	1121
128	166	1121
129	167	1120
130	168	1119
131	169	1117
132	171	1115
133	172	1113
134	173	1113
135	175	1112
136	176	1111
137	177	1110
138	179	1109
139	180	1108
140	181	1107
141	182	1105
142	184	1104
143	185	1102
144	186	1101
145	188	1100
146	189	1098
147	190	1096
148	191	1095
149	193	1093
150	194	1092
151	195	1090
152	196	1088
153	197	1084
154	198	1082
155	199	1081
156	201	1080
157	202	1078
158	203	1076
159	204	1074
160	205	1073
161	207	1072
162	208	1071
163	209	1069
164	211	1068
165	212	1066
166	213	1064
167	214	1063
168	216	1062
169	217	1060
170	218	1058
171	219	1057
172	220	1056
173	222	1054
174	223	1053
175	224	1052
176	225	1050
177	227	1048
178	228	1046
179	229	1045
180	230	1044
181	232	1043
182	233	1042
183	235	1042
184	236	1041
185	237	1039
186	238	1037
187	239	1036
188	241	1034
189	242	1032
190	243	1030
191	244	1029
192	246	1028
193	247	1026
194	248	1025
195	249	1023
196	250	1021
197	251	1019
198	252	1018
199	254	1016
200	255	1015
201	256	1013
202	257	1012
203	259	1010
204	260	1009
205	261	1008
206	262	1007
207	264	1006
208	265	1005
209	267	1004
210	268	1003
211	269	1002
212	270	1000
213	272	1000
214	273	999
215	274	997
216	276	996
217	277	995
218	278	994
219	280	993
220	281	992
221	282	991
222	284	989
223	285	989
224	286	987
225	287	986
226	289	984
227	290	983
228	291	981
229	292	979
230	293	978
231	295	977
232	296	975
